Departure,Return,Airline,Duration,Transit,Price,Competitor Price,Duration in Minutes,Flight Type,Price Type,Season,Price per Hour
2025-04-14,2025-04-21,MEA,4h 15m,0,817.0,801.99,255,Short,Affordable,Spring,192.24
2025-04-14,2025-04-21,MEA,4h 40m,0,1077.0,1061.99,280,Short,Expensive,Spring,230.79
2025-04-14,2025-04-21,Transavia France,4h 30m,0,1459.0,1443.99,270,Short,Expensive,Spring,324.22
2025-04-14,2025-04-21,"Pegasus Airlines, Ajet",8h 45m,1,998.0,982.99,525,Long,Expensive,Spring,114.06
2025-04-14,2025-04-21,Transavia France,4h 30m,0,1060.0,1044.99,270,Short,Expensive,Spring,235.56
2025-04-14,2025-04-21,Pegasus Airlines,10h 30m,1,1578.0,1562.99,630,Long,Expensive,Spring,150.29
2025-04-14,2025-04-21,Transavia France,4h 30m,0,880.0,864.99,270,Short,Affordable,Spring,195.56
2025-04-14,2025-04-21,Turkish Airlines,7h 55m,1,1410.0,1394.99,475,Long,Expensive,Spring,178.11
2025-04-14,2025-04-21,MEA,4h 15m,0,778.0,762.99,255,Short,Affordable,Spring,183.06
2025-04-14,2025-04-21,Turkish Airlines,7h 25m,1,1524.0,1508.99,445,Medium,Expensive,Spring,205.48
2025-04-21,2025-04-28,Royal Jordanian,13h 30m,1,555.0,878.0,810,Long,Cheap,Spring,41.11
2025-04-21,2025-04-28,Royal Jordanian,19h 05m,1,861.0,551.0,1145,Long,Affordable,Spring,45.12
2025-04-21,2025-04-28,MEA,4h 15m,0,514.0,498.99,255,Short,Cheap,Spring,120.94
2025-04-21,2025-04-28,MEA,4h 40m,0,861.0,928.0,280,Short,Affordable,Spring,184.5
2025-04-21,2025-04-28,Royal Jordanian,13h 30m,1,911.0,928.0,810,Long,Affordable,Spring,67.48
2025-04-21,2025-04-28,Royal Jordanian,19h 05m,1,897.0,967.0,1145,Long,Affordable,Spring,47.0
2025-04-21,2025-04-28,MEA,4h 15m,0,911.0,895.99,255,Short,Affordable,Spring,214.35
2025-04-21,2025-04-28,MEA,4h 40m,0,958.0,942.99,280,Short,Expensive,Spring,205.29
2025-04-21,2025-04-28,MEA,4h 15m,0,1008.0,992.99,255,Short,Expensive,Spring,237.18
2025-04-21,2025-04-28,MEA,4h 40m,0,1070.0,1054.99,280,Short,Expensive,Spring,229.29
2025-04-21,2025-04-28,Air France,4h 20m,0,1070.0,777.0,260,Short,Expensive,Spring,246.92
2025-04-21,2025-04-28,Air France,4h 40m,0,1131.0,827.0,280,Short,Expensive,Spring,242.36
2025-04-21,2025-04-28,MEA,4h 15m,0,1167.0,1151.99,255,Short,Expensive,Spring,274.59
2025-04-21,2025-04-28,MEA,4h 40m,0,766.0,750.99,280,Short,Affordable,Spring,164.14
2025-04-21,2025-04-28,MEA,4h 20m,0,816.0,800.99,260,Short,Affordable,Spring,188.31
2025-04-21,2025-04-28,MEA,4h 20m,0,740.0,724.99,260,Short,Affordable,Spring,170.77
2025-04-21,2025-04-28,MEA,4h 40m,0,756.0,740.99,280,Short,Affordable,Spring,162.0
2025-04-21,2025-04-28,MEA,4h 20m,0,726.0,710.99,260,Short,Affordable,Spring,167.54
2025-04-21,2025-04-28,Pegasus Airlines,7h 10m,1,691.0,878.0,430,Medium,Affordable,Spring,96.42
2025-04-21,2025-04-28,Pegasus Airlines,8h 20m,1,861.0,878.0,500,Long,Affordable,Spring,103.32
2025-04-21,2025-04-28,MEA,4h 15m,0,469.0,453.99,255,Short,Cheap,Spring,110.35
2025-04-21,2025-04-28,"Ryanair, Pegasus Airlines",36h 55m,3,911.0,967.0,2215,Long,Affordable,Spring,24.68
2025-04-21,2025-04-28,"Pegasus Airlines, Transavia France",27h 05m,2,897.0,881.99,1625,Long,Affordable,Spring,33.12
2025-04-21,2025-04-28,MEA,4h 15m,0,1008.0,777.0,255,Short,Expensive,Spring,237.18
2025-04-21,2025-04-28,Air France,4h 20m,0,1070.0,827.0,260,Short,Expensive,Spring,246.92
2025-04-21,2025-04-28,Air France,4h 40m,0,756.0,732.0,280,Short,Affordable,Spring,162.0
