Departure,Return,Airline,Duration,Transit,Price,Competitor Price,Duration in Minutes,Flight Type,Price Type,Season,Price per Hour
2025-04-23,2025-04-30,Turkish Airlines,30h 10m,1,1076.0,1118.84,1810,Long,Affordable,Spring,35.67
2025-04-23,2025-04-30,Qatar Airways,26h 10m,2,1076.0,1118.84,1570,Medium,Affordable,Spring,41.12
2025-04-23,2025-04-30,Turkish Airlines,20h 55m,1,1018.0,1060.84,1255,Medium,Affordable,Spring,48.67
2025-04-23,2025-04-30,Qatar Airways,19h 35m,1,1129.0,1171.84,1175,Medium,Affordable,Spring,57.65
2025-04-23,2025-04-30,Qatar Airways,22h 20m,1,1018.0,1060.84,1340,Medium,Affordable,Spring,45.58
2025-04-23,2025-04-30,Qatar Airways,24h 55m,1,1018.0,1060.84,1495,Medium,Affordable,Spring,40.86
2025-04-23,2025-04-30,Turkish Airlines,30h 10m,1,1018.0,1060.84,1810,Long,Affordable,Spring,33.75
2025-04-23,2025-04-30,Qatar Airways,26h 10m,2,1018.0,1060.84,1570,Medium,Affordable,Spring,38.9
2025-04-23,2025-04-30,Qatar Airways,19h 35m,1,902.0,944.84,1175,Medium,Cheap,Spring,46.06
2025-04-23,2025-04-30,Qatar Airways,27h 40m,1,1018.0,1060.84,1660,Long,Affordable,Spring,36.8
2025-04-23,2025-04-30,Turkish Airlines,20h 55m,1,1129.0,1171.84,1255,Medium,Affordable,Spring,53.98
2025-04-23,2025-04-30,Turkish Airlines,30h 10m,1,1006.0,1048.84,1810,Long,Affordable,Spring,33.35
2025-04-23,2025-04-30,Turkish Airlines,26h 40m,1,1018.0,1060.84,1600,Long,Affordable,Spring,38.17
2025-04-23,2025-04-30,Turkish Airlines,23h 35m,1,1503.0,1545.84,1415,Medium,Expensive,Spring,63.73
2025-04-23,2025-04-30,Turkish Airlines,20h 40m,1,1047.0,1089.84,1240,Medium,Affordable,Spring,50.66
2025-04-23,2025-04-30,Turkish Airlines,29h 50m,1,1016.0,1058.84,1790,Long,Affordable,Spring,34.06
2025-04-23,2025-04-30,Qatar Airways,21h 50m,1,1018.0,1060.84,1310,Medium,Affordable,Spring,46.63
2025-04-23,2025-04-30,"MEA, Qatar Airways",24h 55m,1,1056.0,1098.84,1495,Medium,Affordable,Spring,42.38
2025-04-23,2025-04-30,Turkish Airlines,26h 55m,1,1122.0,1164.84,1615,Long,Affordable,Spring,41.68
2025-04-23,2025-04-30,Turkish Airlines,23h 35m,1,1018.0,1060.84,1415,Medium,Affordable,Spring,43.17
2025-04-23,2025-04-30,Turkish Airlines,20h 55m,1,1188.0,1230.84,1255,Medium,Affordable,Spring,56.8
2025-04-23,2025-04-30,Turkish Airlines,29h 50m,1,1060.0,1102.84,1790,Long,Affordable,Spring,35.53
2025-04-23,2025-04-30,Turkish Airlines,26h 55m,1,1122.0,1164.84,1615,Long,Affordable,Spring,41.68
2025-04-23,2025-04-30,Turkish Airlines,23h 35m,1,1018.0,1060.84,1415,Medium,Affordable,Spring,43.17
2025-04-23,2025-04-30,Turkish Airlines,20h 55m,1,1188.0,1230.84,1255,Medium,Affordable,Spring,56.8
2025-04-23,2025-04-30,Turkish Airlines,29h 50m,1,1060.0,1102.84,1790,Long,Affordable,Spring,35.53
2025-04-23,2025-04-30,Turkish Airlines,26h 55m,1,1272.0,1314.84,1615,Long,Affordable,Spring,47.26
2025-04-23,2025-04-30,Turkish Airlines,23h 35m,1,1226.0,1268.84,1415,Medium,Affordable,Spring,51.99
2025-04-23,2025-04-30,Qatar Airways,33h 15m,1,1350.0,1392.84,1995,Long,Affordable,Spring,40.6
2025-04-23,2025-04-30,Qatar Airways,27h 40m,1,1503.0,1545.84,1660,Long,Expensive,Spring,54.33
2025-04-23,2025-04-30,Turkish Airlines,20h 40m,1,1193.0,1235.84,1240,Medium,Affordable,Spring,57.73
