Location,Date,Average Temp (°C),Precipitation (mm),Rain
Paris,2025-05-25,16.2,1.2,Yes
Riyadh,2025-05-25,33.3,0.0,No
Cairo,2025-05-25,27.3,0.1,Yes
LA,2025-05-25,17.8,0.2,Yes
Istanbul,2025-05-25,19.0,1.4,Yes
Beirut,2025-05-26,22.7,0.0,No
Paris,2025-05-26,15.8,1.9,Yes
Riyadh,2025-05-26,33.3,0.0,No
Cairo,2025-05-26,27.8,0.0,No
LA,2025-05-26,17.8,0.1,Yes
Istanbul,2025-05-26,19.3,0.6,Yes
Beirut,2025-05-27,23.9,0.1,Yes
Paris,2025-05-27,16.3,1.5,Yes
Riyadh,2025-05-27,34.0,0.0,No
Cairo,2025-05-27,28.5,0.0,No
LA,2025-05-27,18.7,0.0,No
Istanbul,2025-05-27,19.1,2.5,Yes
Beirut,2025-05-28,23.5,0.5,Yes
Paris,2025-05-28,16.1,2.0,Yes
Riyadh,2025-05-28,34.4,0.0,No
Cairo,2025-05-28,27.5,0.0,No
LA,2025-05-28,19.3,0.0,No
Istanbul,2025-05-28,19.3,0.9,Yes
Beirut,2025-05-29,22.9,0.4,Yes
Paris,2025-05-29,16.0,2.0,Yes
Riyadh,2025-05-29,34.6,0.0,No
Cairo,2025-05-29,27.2,0.0,No
LA,2025-05-29,19.2,0.0,No
Istanbul,2025-05-29,19.9,0.6,Yes
Beirut,2025-05-30,23.4,0.2,Yes
Paris,2025-05-30,16.0,4.5,Yes
Riyadh,2025-05-30,34.8,0.0,No
Cairo,2025-05-30,27.9,0.0,No
LA,2025-05-30,19.2,0.1,Yes
Istanbul,2025-05-30,20.2,0.5,Yes
Beirut,2025-05-31,23.5,0.1,Yes
Paris,2025-05-31,16.2,3.0,Yes
Riyadh,2025-05-31,34.6,0.0,No
Cairo,2025-05-31,28.7,0.0,No
LA,2025-05-31,19.2,0.0,No
Istanbul,2025-05-31,20.5,0.5,Yes
Beirut,2025-06-01,23.4,0.2,Yes
Paris,2025-06-01,16.9,1.1,Yes
Riyadh,2025-06-01,34.7,0.0,No
Cairo,2025-06-01,28.6,0.0,No
LA,2025-06-01,19.4,0.0,No
Istanbul,2025-06-01,20.4,2.0,Yes
Beirut,2025-06-02,23.8,0.2,Yes
Paris,2025-06-02,17.7,1.3,Yes
Riyadh,2025-06-02,34.8,0.0,No
Cairo,2025-06-02,28.8,0.0,No
LA,2025-06-02,20.0,0.0,No
Istanbul,2025-06-02,20.2,1.2,Yes
Beirut,2025-06-03,24.0,0.0,No
Paris,2025-06-03,17.2,1.4,Yes
Riyadh,2025-06-03,34.9,0.0,No
Cairo,2025-06-03,28.8,0.0,No
LA,2025-06-03,20.2,0.0,No
Istanbul,2025-06-03,20.6,0.8,Yes
Beirut,2025-06-04,24.1,0.1,Yes
Paris,2025-06-04,17.1,2.7,Yes
Riyadh,2025-06-04,34.5,0.0,No
Cairo,2025-06-04,28.6,0.0,No
LA,2025-06-04,19.9,0.0,No
Istanbul,2025-06-04,20.6,2.7,Yes
Beirut,2025-06-05,23.6,0.0,No
Paris,2025-06-05,16.9,3.3,Yes
Riyadh,2025-06-05,34.8,0.0,No
Cairo,2025-06-05,27.9,0.0,No
LA,2025-06-05,19.4,0.3,Yes
Istanbul,2025-06-05,21.2,1.4,Yes
Beirut,2025-06-06,23.6,0.0,No
Paris,2025-06-06,16.7,2.9,Yes
Riyadh,2025-06-06,35.4,0.0,No
Cairo,2025-06-06,28.6,0.0,No
LA,2025-06-06,19.1,0.2,Yes
Istanbul,2025-06-06,21.4,3.0,Yes
Beirut,2025-06-07,24.2,0.0,No
Paris,2025-06-07,17.1,2.7,Yes
Riyadh,2025-06-07,35.6,0.0,No
Cairo,2025-06-07,29.5,0.0,No
LA,2025-06-07,19.5,0.1,Yes
Istanbul,2025-06-07,21.4,2.4,Yes
Beirut,2025-06-08,25.0,0.0,No
Paris,2025-06-08,17.1,3.6,Yes
Riyadh,2025-06-08,35.5,0.0,No
Cairo,2025-06-08,29.6,0.0,No
LA,2025-06-08,20.2,0.0,No
Istanbul,2025-06-08,21.2,1.3,Yes
Beirut,2025-06-09,24.8,0.0,No
Paris,2025-06-09,16.7,3.0,Yes
Riyadh,2025-06-09,35.5,0.0,No
Cairo,2025-06-09,29.1,0.0,No
LA,2025-06-09,20.7,0.0,No
Istanbul,2025-06-09,21.4,0.5,Yes
Beirut,2025-06-10,24.3,0.0,No
Paris,2025-06-10,17.3,3.2,Yes
Riyadh,2025-06-10,35.9,0.0,No
Cairo,2025-06-10,29.3,0.0,No
LA,2025-06-10,20.3,0.0,No
Istanbul,2025-06-10,21.6,1.0,Yes
Beirut,2025-06-11,24.2,0.1,Yes
Paris,2025-06-11,18.0,3.7,Yes
Riyadh,2025-06-11,35.9,0.0,No
Cairo,2025-06-11,29.3,0.0,No
LA,2025-06-11,20.3,0.1,Yes
